133	89	17	48
87	110	63	48
16	27	110	125
0	0	108	104
0	0	83	80
0	0	70	88
0	0	62	89
0	0	62	60
0	0	52	85
0	0	51	80
0	0	59	77
0	0	57	54
0	0	46	60
0	0	42	60
0	0	42	58
0	0	53	39
0	0	48	49
17	0	57	39
0	0	48	55
5	0	62	42
0	0	50	55
0	0	51	60
0	0	60	44
0	0	46	55
11	0	60	41
0	0	51	52
0	0	43	57
0	0	57	40
0	0	42	51
0	0	39	52
0	0	36	52
0	0	35	51
0	0	33	48
0	0	38	47
0	0	34	48
0	0	31	46
0	0	46	43
0	0	35	42
0	0	31	44
2	0	46	29
0	0	35	38
0	0	40	28
8	0	43	24
0	0	34	33
17	0	38	26
0	0	36	32
0	0	29	37
0	0	26	37
0	0	25	36
0	0	23	35
12	0	35	22
0	0	30	29
0	0	25	33
0	0	23	33
11	0	33	22
0	0	29	28
17	0	33	21
0	0	31	28
0	0	25	32
0	0	22	32
18	0	29	21
5	0	45	17
0	0	29	27
0	0	23	30
17	0	30	20
0	0	30	25
0	0	27	30
0	0	27	31
0	0	31	33
0	0	26	36
13	0	36	24
0	0	32	31
0	0	26	34
4	0	44	34
5	0	51	28
0	0	40	27
0	0	29	35
11	0	38	24
0	0	33	31
0	0	29	25
20	0	31	20
0	0	37	18
13	0	36	18
0	0	33	18
15	0	33	17
10	0	41	16
0	0	45	25
14	0	42	24
0	0	37	33
4	0	43	26
0	0	48	24
0	0	37	34
0	0	30	38
0	0	32	39
0	0	29	41
0	0	28	40
14	0	38	27
0	0	52	23
9	0	49	23
0	0	36	34
0	0	29	38
0	0	26	39
0	0	24	37
9	0	36	25
0	0	31	31
0	0	25	34
0	0	23	34
0	0	22	33
14	0	30	22
0	0	29	28
0	0	24	31
0	0	22	31
0	0	21	29
0	0	20	29
0	0	19	27
0	0	19	19
0	0	16	21
0	0	17	22
0	0	15	22
0	0	14	22
0	0	14	22
0	0	13	21
0	0	13	21
0	0	13	20
0	0	12	19
0	0	13	13
0	10	14	17
0	0	12	24
9	0	19	15
0	0	28	19
16	0	29	16
0	0	28	23
11	0	33	19
0	0	28	26
0	0	22	29
0	0	20	28
0	0	28	28
0	0	23	32
15	0	31	21
13	0	40	18
0	0	31	27
21	0	33	21
0	0	37	28
0	0	27	34
0	0	24	35
12	0	35	23
9	0	44	20
0	0	32	31
0	0	26	34
8	0	37	24
0	0	30	32
0	0	25	35
0	0	22	34
15	0	31	22
0	0	30	28
13	0	36	21
0	0	47	19
0	0	29	30
13	0	36	22
4	0	46	20
9	0	45	20
0	0	31	30
0	0	25	34
0	0	24	34
0	0	22	33
17	0	29	21
0	0	47	17
0	0	28	28
12	0	36	21
8	0	45	19
0	0	49	20
0	0	33	22
0	0	23	28
0	0	20	29
0	0	19	28
0	0	19	27
0	0	17	26
0	0	15	17
7	0	19	12
0	0	17	16
10	0	20	13
0	0	28	17
20	0	24	15
0	0	30	20
23	0	28	17
10	0	39	15
8	0	42	16
0	0	29	25
0	0	23	30
17	0	29	20
0	0	30	26
26	0	28	20
0	0	38	25
0	0	27	32
9	0	38	23
0	0	30	30
9	0	40	23
