89	93	69	60
68	74	95	122
0	56	137	188
0	79	158	173
0	59	161	174
0	56	157	181
0	40	156	192
0	79	165	164
0	68	157	170
67	96	177	164
0	47	184	176
0	70	160	171
33	97	184	163
0	65	174	177
0	65	154	177
0	122	152	138
0	80	65	120
12	61	114	154
0	52	113	182
0	0	52	83
22	17	77	103
0	0	84	74
31	13	110	109
129	61	58	71
136	62	54	59
135	58	54	62
143	58	49	63
51	0	81	66
0	23	132	91
0	0	70	80
20	21	99	106
26	7	160	157
0	28	81	150
21	15	153	176
150	0	158	154
155	8	184	172
0	0	187	150
0	0	147	150
46	37	189	203
0	0	172	152
2	27	245	195
0	0	183	157
0	32	252	184
0	24	260	197
0	25	259	191
0	15	182	218
0	0	180	111
127	48	78	111
131	50	79	109
125	52	76	109
120	49	73	119
115	48	76	123
104	45	83	137
106	41	81	142
96	38	84	144
93	46	79	137
77	43	95	151
87	44	74	152
77	33	76	159
71	36	81	159
70	44	86	146
66	52	87	140
67	60	76	123
65	50	75	136
0	27	143	165
50	49	103	151
48	51	98	156
0	25	129	181
0	26	133	176
0	28	134	187
0	34	132	179
0	34	134	182
0	26	132	172
0	36	126	153
52	53	69	130
52	49	67	129
49	43	74	149
43	56	80	134
41	50	84	143
40	56	95	143
0	58	128	198
0	57	145	184
0	56	151	175
41	56	177	164
33	51	247	183
0	44	156	186
0	62	182	185
0	32	164	176
0	49	183	180
0	66	195	188
0	47	199	194
0	56	112	160
80	39	61	143
89	44	56	123
90	36	52	120
92	37	51	106
96	36	52	108
101	42	48	78
97	37	61	79
103	40	63	95
90	64	72	114
70	86	81	100
71	85	81	102
74	91	79	87
71	87	90	95
70	81	96	100
75	79	97	104
79	77	102	106
97	71	93	108
0	0	77	81
0	10	128	128
121	83	66	72
124	82	74	71
133	85	65	66
137	92	58	57
140	85	66	66
144	77	67	82
31	0	125	91
0	0	115	92
13	9	140	150
0	6	126	205
79	85	203	175
0	27	199	192
0	28	186	191
179	0	167	150
8	22	216	183
0	30	189	184
0	9	190	191
0	24	197	185
0	20	185	195
116	9	199	170
80	9	213	168
114	7	191	168
96	2	216	181
0	18	202	188
0	18	202	175
0	17	195	178
0	36	193	167
0	44	168	143
0	50	158	157
0	54	153	124
0	57	130	120
0	57	118	122
0	0	55	85
68	50	47	49
63	51	69	58
22	110	39	52
13	106	55	63
18	114	44	59
13	120	51	61
14	129	48	59
16	136	42	61
16	140	37	61
18	140	40	69
25	150	42	64
26	159	50	62
34	159	49	69
37	168	59	61
48	175	70	55
58	170	77	66
74	165	77	75
91	158	79	75
99	155	90	80
112	143	87	86
124	142	83	88
126	134	86	96
149	128	76	97
164	135	63	83
178	130	57	78
196	132	47	70
196	122	55	49
198	114	63	51
200	105	61	55
194	97	65	58
201	96	65	63
189	95	70	63
236	0	92	111
287	0	59	66
210	30	85	86
199	0	136	80
80	0	162	100
66	0	219	94
177	0	169	134
212	0	134	146
197	0	149	149
178	0	168	162
173	0	173	159
169	0	177	158
0	41	226	166
186	0	160	154
169	0	177	154
125	19	198	181
0	44	200	175
